cve_ent,entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
12,Guerrero,27,Zihuatanejo,2021_2022,26.5
13,Hidalgo,31,Pachuca,2021_2022,14.9
13,Hidalgo,288,Pachuca II,2021_2022,7.5
13,Hidalgo,214,Tepeji del Río,2021_2022,15
13,Hidalgo,178,Tizayuca,2021_2022,13
13,Hidalgo,250,Tulancingo,2021_2022,8.7
13,Hidalgo,287,Villa de Tezontepec,2021_2022,7.8
14,Jalisco,182,Acatlán de Juárez,2021_2022,26.8
14,Jalisco,281,Ajijic-Chapala,2021_2022,21.8
14,Jalisco,74,Arandas,2021_2022,9.4
14,Jalisco,76,Guadalajara I,2021_2022,24.4
14,Jalisco,71,Guadalajara II,2021_2022,15.9
14,Jalisco,234,Guadalajara III,2021_2022,22.6
14,Jalisco,110,Jalostotitlán,2021_2022,19.1
14,Jalisco,78,José Ma. Martínez R.,2021_2022,13.2
14,Jalisco,131,Juanacatlán,2021_2022,13.9
14,Jalisco,260,La Barca,2021_2022,21.5
14,Jalisco,168,Lagos de Moreno,2021_2022,12.7
14,Jalisco,32,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2021_2022,19.5
14,Jalisco,235,Profra. Idolina Gaona de Cosio - Tonalá,2021_2022,18.5
14,Jalisco,75,Puerto Vallarta,2021_2022,11.9
14,Jalisco,293,Puerto Vallarta II,2021_2022,15
14,Jalisco,322,Tapalpa,2021_2022,8.6
14,Jalisco,77,Tlaquepaque,2021_2022,16.8
14,Jalisco,258,Zapopan,2021_2022,13.8
15,México,81,Almoloya del Río,2021_2022,9.1
15,México,183,Atizapán I,2021_2022,11.1
15,México,248,Atizapán II,2021_2022,8.1
15,México,33,Atlacomulco,2021_2022,5
15,México,263,Chalco,2021_2022,12.4
15,México,107,Chimalhuacán,2021_2022,9.2
15,México,1,Ciudad Azteca,2021_2022,9.3
15,México,184,Coacalco,2021_2022,6.8
15,México,108,Cuautitlán I,2021_2022,12.5
15,México,14,Del Sol,2021_2022,7.6
15,México,192,Ecatepec I,2021_2022,6.6
15,México,222,Ecatepec II,2021_2022,8.9
15,México,223,Ecatepec III,2021_2022,13.9
15,México,8,El Oro,2021_2022,4
15,México,125,El Zarco,2021_2022,12.9
15,México,6,Gustavo Baz - Tlalnepantla,2021_2022,9.7
15,México,198,Huixquilucan,2021_2022,8.4
15,México,109,Ing. Bernardo Quintana Arrioja - Cuautitlán,2021_2022,9.3
15,México,236,Ixtapaluca,2021_2022,10.6
15,México,199,Lerma,2021_2022,8.9
15,México,197,Los Reyes la Paz,2021_2022,15.7
15,México,187,Naucalpan I,2021_2022,13.3
15,México,188,Naucalpan II,2021_2022,11
15,México,190,Nezahualcóyotl I,2021_2022,7.6
15,México,191,Nezahualcóyotl II,2021_2022,4.8
15,México,229,Nezahualcóyotl III,2021_2022,13.9
15,México,237,Nicolás Romero,2021_2022,12.7
15,México,79,Santiago Tianguistenco,2021_2022,4.3
15,México,126,Santiago Tilapa,2021_2022,5.3
15,México,238,Tecámac,2021_2022,10.9
15,México,80,Temoaya,2021_2022,6.9
15,México,185,Texcoco,2021_2022,10.4
15,México,193,Tlalnepantla I,2021_2022,9.3
15,México,228,Tlalnepantla II,2021_2022,7.1
15,México,231,Tlalnepantla III,2021_2022,5.2
15,México,34,Toluca,2021_2022,6.6
15,México,194,Tultitlán,2021_2022,9
15,México,13,Valle de Aragón,2021_2022,9.7
15,México,82,Villa Victoria,2021_2022,9
16,Michoacán de Ocampo,85,Apatzingán,2021_2022,6.7
16,Michoacán de Ocampo,256,Ciudad Hidalgo,2021_2022,14.4
16,Michoacán de Ocampo,87,La Piedad,2021_2022,12.9
16,Michoacán de Ocampo,35,Lázaro Cárdenas,2021_2022,13.5
16,Michoacán de Ocampo,180,Los Reyes,2021_2022,12.2
16,Michoacán de Ocampo,83,Morelia I,2021_2022,16.1
16,Michoacán de Ocampo,239,Morelia II,2021_2022,6.1
16,Michoacán de Ocampo,84,Pátzcuaro,2021_2022,14.8
16,Michoacán de Ocampo,167,Sahuayo,2021_2022,15.4
16,Michoacán de Ocampo,89,Uruapan,2021_2022,12.2
16,Michoacán de Ocampo,86,Zacapu,2021_2022,9.4
16,Michoacán de Ocampo,88,Zamora,2021_2022,14.4
16,Michoacán de Ocampo,240,Zitácuaro,2021_2022,8.7
17,Morelos,173,Cuautla,2021_2022,18.9
17,Morelos,241,Cuernavaca,2021_2022,17.1
17,Morelos,294,Jiutepec - Calera Chica,2021_2022,9.9
17,Morelos,36,Temixco,2021_2022,11.5
17,Morelos,283,Tepoztlán,2021_2022,19.3
18,Nayarit,311,Bahia de Banderas,2021_2022,12
18,Nayarit,257,Peñita de Jaltemba,2021_2022,16.5
18,Nayarit,169,Tepic,2021_2022,16.2
18,Nayarit,310,Tepic II,2021_2022,16.1
19,Nuevo León,332,Cadereyta Jiménez,2021_2022,24.9
19,Nuevo León,296,Don Benjamín Salinas Westrup,2021_2022,17.4
19,Nuevo León,290,Don Carlos Maldonado Elizondo,2021_2022,18.6
19,Nuevo León,242,Don Humberto Lobo Villarreal,2021_2022,20.3
19,Nuevo León,213,Don José María Hernández Martínez,2021_2022,27.2
19,Nuevo León,90,Don Protasio Rodríguez Cuéllar,2021_2022,32.7
19,Nuevo León,295,Don Víctor Gómez Garza,2021_2022,25
19,Nuevo León,135,Dr. Arroyo,2021_2022,19.1
19,Nuevo León,289,Dr. Carlos Canseco González,2021_2022,29
19,Nuevo León,123,Dr. Eduardo Macías Santos,2021_2022,19.7
19,Nuevo León,254,Ing. Adrián Sada Treviño,2021_2022,25
19,Nuevo León,91,Ing. Gustavo M. de la Garza Ortega,2021_2022,21.5
19,Nuevo León,37,Ing. José Antonio Padilla Segura I,2021_2022,26
19,Nuevo León,300,Joel Rocha Barocio,2021_2022,20.2
19,Nuevo León,314,José María Parás y Ballesteros,2021_2022,22.2
19,Nuevo León,333,Lic. Bárbara Herrera de Garza,2021_2022,33.4
19,Nuevo León,38,Lic. Raúl Rangel Frias,2021_2022,30.5
19,Nuevo León,157,Dr. Victor Bravo Ahuja-Tuxtepec,2021_2022,18.5
20,Oaxaca,145,Gral. Antonio de León,2021_2022,14.9
20,Oaxaca,243,Juchitán,2021_2022,13.1
20,Oaxaca,39,Oaxaca,2021_2022,22.4
20,Oaxaca,158,Puerto Escondido,2021_2022,22.2
20,Oaxaca,155,Salina Cruz,2021_2022,9.6
21,Puebla,93,Atencingo,2021_2022,11
21,Puebla,151,Calipam,2021_2022,8.6
21,Puebla,265,Chipilo,2021_2022,21.6
21,Puebla,152,Huauchinango,2021_2022,12.4
21,Puebla,40,Puebla I,2021_2022,8.7
21,Puebla,175,Puebla II,2021_2022,17.8
21,Puebla,261,Puebla III,2021_2022,16.8
21,Puebla,149,San Martín Texmelucan,2021_2022,13.7
21,Puebla,150,Tehuacán,2021_2022,14
21,Puebla,153,Teziutlán,2021_2022,5.9
22,Querétaro de Arteaga,328,Aeronáutico,2021_2022,12.5
22,Querétaro de Arteaga,280,Amealco,2021_2022,9.4
22,Querétaro de Arteaga,336,Querétaro,2021_2022,21.2
22,Querétaro de Arteaga,41,Querétaro II,2021_2022,25.5
22,Querétaro de Arteaga,42,San Juan del Rio,2021_2022,20.4
23,Quintana Roo,9,Cancún,2021_2022,6.1
23,Quintana Roo,286,Cancún II,2021_2022,3.2
23,Quintana Roo,298,Cancún III,2021_2022,11.2
23,Quintana Roo,339,Cancún IV,2021_2022,13.8
23,Quintana Roo,65,Cozumel,2021_2022,12.5
23,Quintana Roo,102,Felipe Carrillo Puerto,2021_2022,13.3
23,Quintana Roo,7,Lic. Jesús Martínez Ross - Chetumal,2021_2022,9.7
23,Quintana Roo,297,Playa del Carmen,2021_2022,7.2
24,San Luis Potosí,44,Ciudad Valles,2021_2022,7.1
24,San Luis Potosí,205,Ing. Manuel Moreno Torres S.L.P.,2021_2022,15.1
24,San Luis Potosí,43,Matehuala,2021_2022,10.3
24,San Luis Potosí,94,San Luis Potosí,2021_2022,16.8
24,San Luis Potosí,176,Villa de Reyes,2021_2022,7.8
25,Sinaloa,316,Culiacan III,2021_2022,4.9
25,Sinaloa,329,Culiacan IV,2021_2022,13.7
25,Sinaloa,116,El Carrizo,2021_2022,15.6
25,Sinaloa,121,El Rosario,2021_2022,9.6
