entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
Guerrero,335.0,Tlapa de Comonfort,2021_2022,22.3
Guerrero,27.0,Zihuatanejo,2021_2022,26.5
Hidalgo,31.0,Pachuca,2021_2022,14.9
Hidalgo,288.0,Pachuca II,2021_2022,7.5
Hidalgo,214.0,Tepeji del Río,2021_2022,15.0
Hidalgo,178.0,Tizayuca,2021_2022,13.0
Hidalgo,250.0,Tulancingo,2021_2022,8.7
Hidalgo,287.0,Villa de Tezontepec,2021_2022,7.8
Jalisco,182.0,Acatlán de Juárez,2021_2022,26.8
Jalisco,281.0,Ajijic-Chapala,2021_2022,21.8
Jalisco,74.0,Arandas,2021_2022,9.4
Jalisco,76.0,Guadalajara I,2021_2022,24.4
Jalisco,71.0,Guadalajara II,2021_2022,15.9
Jalisco,234.0,Guadalajara III,2021_2022,22.6
Jalisco,110.0,Jalostotitlán,2021_2022,19.1
Jalisco,78.0,José Ma. Martínez R.,2021_2022,13.2
Jalisco,131.0,Juanacatlán,2021_2022,13.9
Jalisco,260.0,La Barca,2021_2022,21.5
Jalisco,168.0,Lagos de Moreno,2021_2022,12.7
Jalisco,32.0,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2021_2022,19.5
Jalisco,235.0,Profra. Idolina Gaona de Cosio - Tonalá,2021_2022,18.5
Jalisco,75.0,Puerto Vallarta,2021_2022,11.9
Jalisco,293.0,Puerto Vallarta II,2021_2022,15.0
Jalisco,322.0,Tapalpa,2021_2022,8.6
Jalisco,77.0,Tlaquepaque,2021_2022,16.8
Jalisco,258.0,Zapopan,2021_2022,13.8
México,81.0,Almoloya del Río,2021_2022,9.1
México,183.0,Atizapán I,2021_2022,11.1
México,248.0,Atizapán II,2021_2022,8.1
México,33.0,Atlacomulco,2021_2022,5.0
México,263.0,Chalco,2021_2022,12.4
México,107.0,Chimalhuacán,2021_2022,9.2
México,1.0,Ciudad Azteca,2021_2022,9.3
México,184.0,Coacalco,2021_2022,6.8
México,108.0,Cuautitlán I,2021_2022,12.5
México,14.0,Del Sol,2021_2022,7.6
México,192.0,Ecatepec I,2021_2022,6.6
México,222.0,Ecatepec II,2021_2022,8.9
México,223.0,Ecatepec III,2021_2022,13.9
México,8.0,El Oro,2021_2022,4.0
México,125.0,El Zarco,2021_2022,12.9
México,6.0,Gustavo Baz - Tlalnepantla,2021_2022,9.7
México,198.0,Huixquilucan,2021_2022,8.4
México,109.0,Ing. Bernardo Quintana Arrioja - Cuautitlán,2021_2022,9.3
México,236.0,Ixtapaluca,2021_2022,10.6
México,199.0,Lerma,2021_2022,8.9
México,197.0,Los Reyes la Paz,2021_2022,15.7
México,187.0,Naucalpan I,2021_2022,13.3
México,188.0,Naucalpan II,2021_2022,11.0
México,190.0,Nezahualcóyotl I,2021_2022,7.6
México,191.0,Nezahualcóyotl II,2021_2022,4.8
México,229.0,Nezahualcóyotl III,2021_2022,13.9
México,237.0,Nicolás Romero,2021_2022,12.7
México,79.0,Santiago Tianguistenco,2021_2022,4.3
México,126.0,Santiago Tilapa,2021_2022,5.3
